黑龙江本地,#genre#
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://39.134.67.226/PLTV/88888888/224/3221225985/index.m3u8
黑龙江卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
黑龙江卫视,http://39.134.67.226/PLTV/88888888/224/3221226006/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江影视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江影视,http://39.134.67.226/PLTV/88888888/224/3221225973/index.m3u8
黑龙江影视,http://39.134.65.141/PLTV/88888888/224/3221225973/1.m3u8
黑龙江影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8
黑龙江影视,http://39.134.65.149/PLTV/88888888/224/3221225971/1.m3u8
黑龙江影视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江文体,http://39.134.67.108/PLTV/88888888/224/3221225965/1.m3u8?zheild
黑龙江文体,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江文体,http://39.134.65.149/PLTV/88888888/224/3221225965/1.m3u8
黑龙江文体,http://39.134.65.145/PLTV/88888888/224/3221226012/1.m3u8?zheild
黑龙江文体,http://39.134.65.149/PLTV/88888888/224/3221226012/1.m3u8
黑龙江文体,https://idclive.hljtv.com:4430/live/hljwy_hd.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江都市,http://39.134.67.108/PLTV/88888888/224/3221225969/1.m3u8
黑龙江都市,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江都市,http://39.134.65.151/PLTV/88888888/224/3221225969/1.m3u8
黑龙江都市,http://39.134.65.141/PLTV/88888888/224/3221225969/1.m3u8
黑龙江都市,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
黑龙江都市,http://39.134.67.226/PLTV/88888888/224/3221225990/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江新闻法治,http://39.134.65.149/PLTV/88888888/224/3221225967/1.m3u8
黑龙江新闻法治,http://39.134.65.149/PLTV/88888888/224/3221225992/1.m3u8?zheild
黑龙江新闻法治,http://39.134.67.226/PLTV/88888888/224/3221225967/index.m3u8
黑龙江新闻法治,http://39.134.65.151/PLTV/88888888/224/3221225992/1.m3u8?zheild
黑龙江新闻法治,http://39.134.65.149/PLTV/88888888/224/3221225992/1.m3u8
黑龙江新闻法治,http://39.134.67.226/PLTV/88888888/224/3221225992/index.m3u8
黑龙江新闻法治,https://idclive.hljtv.com:4430/live/hljxw_hd.m3u8
黑龙江农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江农业科教,http://39.134.65.149/PLTV/88888888/224/3221225994/1.m3u8
黑龙江农业科教,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江农业科教,http://39.134.67.226/PLTV/88888888/224/3221225994/index.m3u8
黑龙江农业科教,http://39.134.67.108/PLTV/88888888/224/3221225994/index.m3u8
黑龙江农业科教,http://39.134.65.147/PLTV/88888888/224/3221225998/1.m3u8?zheild
黑龙江农业科教,http://39.134.65.151/PLTV/88888888/224/3221225998/1.m3u8?zheild
黑龙江农业科教,http://39.134.65.141/PLTV/88888888/224/3221225998/1.m3u8
黑龙江农业科教,http://39.134.65.143/PLTV/88888888/224/3221225998/1.m3u8
黑龙江农业科教,https://idclive.hljtv.com:4430/live/hljgg_hd.m3u8
黑龙江农业科教,https://idclive.hljtv.com:4430/live/hljgg_hd.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江少儿,http://39.134.67.136/PLTV/88888888/224/3221225979/index.m3u8
黑龙江少儿,http://39.134.67.226/PLTV/88888888/224/3221225979/index.m3u8
黑龙江少儿,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
佳木斯新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
佳木斯新闻综合,http://39.134.65.151/PLTV/88888888/224/3221225993/1.m3u8?zheild
佳木斯新闻综合,http://39.134.65.149/PLTV/88888888/224/3221225993/1.m3u8?zheild
央视频道,#genre#.
CCTV1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1综合,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.65.208/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://stream10.fjtv.net/cctv1/playlist.m3u8?_upt=40aec9901701196810
CCTV2经济,http://39.134.65.162/PLTV/88888888/224/3221225599/index.m3u8
CCTV2经济,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2经济,http://39.134.65.208/PLTV/88888888/224/3221225599/index.m3u8
CCTV2经济,http://39.134.67.226/PLTV/88888888/224/3221225599/index.m3u8
CCTV2经济,http://113.207.84.200/session/f934660c-8e0e-11ee-83eb-5254006225bb$h1.0$live.cbncdn.cn/pj9p9p/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8?
CCTV3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3综艺,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.65.208/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.65.162/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3综艺,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8
CCTV3综艺,http://113.207.84.197/session/4e7c61f0-8e0f-11ee-83eb-5254006225bb$h1.0$live.cbncdn.cn/pj9p9p/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8?
CCTV4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4中文国际,http://39.134.65.162/PLTV/88888888/224/3221225797/index.m3u8
CCTV4中文国际,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV4中文国际,http://39.134.65.208/PLTV/88888888/224/3221225797/index.m3u8
CCTV4中文国际,http://39.134.67.226/PLTV/88888888/224/3221225797/index.m3u8
CCTV5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5体育,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.65.208/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.65.162/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+体育赛事,http://39.134.65.162/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+体育赛事,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+体育赛事,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+体育赛事,http://39.134.67.226/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+体育赛事,720,http://39.134.65.208/PLTV/88888888/224/3221225507/index.m3u8
CCTV6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6电影,http://39.134.65.208/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.67.226/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.162/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901_fhd.m3u8
CCTV6电影,http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8
CCTV6电影,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7国防军事,http://39.134.65.208/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防军事,http://39.134.67.226/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防军事,http://39.134.65.162/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防军事,,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7国防军事,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8电视剧,http://39.134.65.208/PLTV/88888888/224/3221225795/index.m3u8
CCTV8电视剧,http://39.134.67.226/PLTV/88888888/224/3221225795/index.m3u8
CCTV8电视剧,http://39.134.65.162/PLTV/88888888/224/3221225795/index.m3u8
CCTV8电视剧,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8电视剧,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV8电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV9记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
